NIKTO-ID,PLUGIN-CATEGORY,NIST-ID,OSVDB
600468,db_outdated, SI-2,0
600469,db_outdated, SI-2,0
600470,db_outdated, SI-2,0
600471,db_outdated, SI-2,0
600472,db_outdated, SI-2,0
600473,db_outdated, SI-2,0
600474,db_outdated, SI-2,0
600475,db_outdated, SI-2,0
600476,db_outdated, SI-2,0
600477,db_outdated, SI-2,0
600478,db_outdated, SI-2,0
600479,db_outdated, SI-2,0
600480,db_outdated, SI-2,0
600481,db_outdated, SI-2,0
600482,db_outdated, SI-2,0
600483,db_outdated, SI-2,0
600484,db_outdated, SI-2,0
600485,db_outdated, SI-2,0
600486,db_outdated, SI-2,0
600487,db_outdated, SI-2,0
600488,db_outdated, SI-2,0
600489,db_outdated, SI-2,0
600490,db_outdated, SI-2,0
600491,db_outdated, SI-2,0
600492,db_outdated, SI-2,0
600493,db_outdated, SI-2,0
600494,db_outdated, SI-2,0
600495,db_outdated, SI-2,0
600496,db_outdated, SI-2,0
600497,db_outdated, SI-2,0
600498,db_outdated, SI-2,0
600499,db_outdated, SI-2,0
600500,db_outdated, SI-2,0
600501,db_outdated, SI-2,0
600502,db_outdated, SI-2,0
600503,db_outdated, SI-2,0
600504,db_outdated, SI-2,0
600505,db_outdated, SI-2,0
600506,db_outdated, SI-2,0
600507,db_outdated, SI-2,0
600508,db_outdated, SI-2,0
600509,db_outdated, SI-2,0
600510,db_outdated, SI-2,0
600511,db_outdated, SI-2,0
600512,db_outdated, SI-2,0
600513,db_outdated, SI-2,0
600514,db_outdated, SI-2,0
600515,db_outdated, SI-2,0
600516,db_outdated, SI-2,0
600517,db_outdated, SI-2,0
600518,db_outdated, SI-2,0
600519,db_outdated, SI-2,0
600520,db_outdated, SI-2,0
600521,db_outdated, SI-2,0
600522,db_outdated, SI-2,0
600523,db_outdated, SI-2,0
600524,db_outdated, SI-2,0
600525,db_outdated, SI-2,0
600526,db_outdated, SI-2,0
600527,db_outdated, SI-2,0
600528,db_outdated, SI-2,0
600529,db_outdated, SI-2,0
600530,db_outdated, SI-2,0
600531,db_outdated, SI-2,0
600532,db_outdated, SI-2,0
600533,db_outdated, SI-2,0
600534,db_outdated, SI-2,0
600535,db_outdated, SI-2,0
600536,db_outdated, SI-2,0
600537,db_outdated, SI-2,0
600538,db_outdated, SI-2,0
600539,db_outdated, SI-2,0
600540,db_outdated, SI-2,0
600541,db_outdated, SI-2,0
600542,db_outdated, SI-2,0
600543,db_outdated, SI-2,0
600544,db_outdated, SI-2,0
600545,db_outdated, SI-2,0
600546,db_outdated, SI-2,0
600547,db_outdated, SI-2,0
600548,db_outdated, SI-2,0
600549,db_outdated, SI-2,0
600550,db_outdated, SI-2,0
600551,db_outdated, SI-2,0
600552,db_outdated, SI-2,0
600553,db_outdated, SI-2,0
600554,db_outdated, SI-2,0
600556,db_outdated, SI-2,0
600557,db_outdated, SI-2,0
600558,db_outdated, SI-2,0
600559,db_outdated, SI-2,0
600560,db_outdated, SI-2,0
600561,db_outdated, SI-2,0
600562,db_outdated, SI-2,0
600563,db_outdated, SI-2,0
600564,db_outdated, SI-2,0
600565,db_outdated, SI-2,0
600566,db_outdated, SI-2,0
600567,db_outdated, SI-2,0
600568,db_outdated, SI-2,0
600569,db_outdated, SI-2,0
